dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,aviaco,aircraft,AC_NUMBER,1,varchar,5,"PRIMARY KEY",NULL,NULL,NULL
mysql,aviaco,aircraft,AC_TTAF,3,decimal,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,aircraft,AC_TTEL,4,decimal,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,aircraft,AC_TTER,5,decimal,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,aircraft,MOD_CODE,2,varchar,10,"FOREIGN KEY",aviaco,model,MOD_CODE
mysql,aviaco,charter,AC_NUMBER,5,varchar,5,"FOREIGN KEY",aviaco,aircraft,AC_NUMBER
mysql,aviaco,charter,CHAR_COPILOT,4,int,NULL,"FOREIGN KEY",aviaco,employee,EMP_NUM
mysql,aviaco,charter,CHAR_DATE,2,datetime,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,charter,CHAR_DESTINATION,6,varchar,3,NULL,NULL,NULL,NULL
mysql,aviaco,charter,CHAR_DISTANCE,7,decimal,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,charter,CHAR_FUEL_GALLONS,10,decimal,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,charter,CHAR_HOURS_FLOWN,8,decimal,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,charter,CHAR_HOURS_WAIT,9,decimal,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,charter,CHAR_OIL_QTS,11,int,NULL,NULL,NULL,NULL,NULL
mysql,aviaco,charter,CHAR_PILOT,3,int,NULL,"FOREIGN KEY",aviaco,pilot,EMP_NUM
mysql,aviaco,charter,CHAR_TRIP,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,aviaco,charter,CUS_CODE,12,int,NULL,"FOREIGN KEY",aviaco,customer,CUS_CODE
mysql,aviaco,customer,CUS_AREACODE,5,varchar,3,NULL,NULL,NULL,NULL
